"facility_code","institution","longitude","latitude","ungeocodable"
"10014729","PLYMOUTH POLICE DEPARTMENT",-71.6871131,43.7666271,False
"10014737","HILLSBORO FIRE DEPARTMENT",-97.2035023,38.3536148,False
"10014829","SANBORNTON POLICE DEPARTMENT",-71.5841259096615,43.4922410302137,False
"10014837","DALLAS POLICE DEPARTMENT",-123.315661609036,44.9203949108368,False
"10014844","HILL AFB ACQ PM PALACE ACQUIRE",12.0247803598246,48.7202614,False
"10014937","US DEPT OF VETERANS AFFAIRS-VHA-IT-PORTLAND OR",-122.674194,45.5202471,False
"10014944","US BUREAU OF RECLAMATION-DUTCH JOHN",-109.391282,40.9295478,False
"10015037","CITY OF WARRENTON POLICE DEPARTMENT",-123.923756,46.165105,False
"10015044","SALT LAKE CITY FIELD OFFICE USCIS DHS SALT LAKE CITY UT",-111.88547,40.756182,False
"10015137","SOCIAL SECURITY ADMINISTRATION - EUGENE",-123.073212194668,44.0651700711922,False
"10015237","SUNRIVER POLICE DEPARTMENT",-121.438516,43.8839966,False
"10015337","SOCIAL SECURITY ADMINISTRATION - PENDLETON",-118.7885967,45.672075,False
"10015437","DHS ICE HOMELAND SECURITY INVESTIGATIONS-MEDFORD",-122.865494,42.372902,False
"10015537","DHS ICE HOMELAND SECURITY INVESTIGATIONS-PORTLAND",-122.6725241,45.4925352,False
"10015637","CURRY COUNTY SHERIFF",-124.4217418,42.4074459,False
"10015837","CITY OF PHOENIX POLICE DEPARTMENT",-112.271257712157,33.42735945,False
"10015937","EUGENE-SPRINGFIELD UTILITIES JATC",-122.972938072665,44.0504243,False
"10017842","HUMPHREYS COUNTY SHERIFFS OFFICE",-87.796463,36.082631,False
"10017942","VETERANS HEALTH ADMINISTRATION-NETWORK CONTRACTING OFFICE 09 TCF INTERN PROGRAM",-86.4220927964021,35.8596244045091,False
"10018042","SOCIAL SECURITY ADMINISTRATION-MCMINNVILLE",-85.761876,35.687859,False
"10018142","DUCK RIVER ELECTRIC MEMBERSHIP CORPORATION",-86.0935159,35.2022339,False
"10018242","HAMILTON COUNTY DEPT OF ED",-85.2754581666667,35.0122521666667,False
"10018325","CITY OF MARSHALL",-93.1968704,39.1230777,False
"10018342","FAA TRI-CITIES SYSTEM SUPPORT CENTER",-82.3334353117182,36.533767,False
"10018442","RUTHERFORD COUNTY SHERIFFS OFFICE",-86.4094898999485,35.8366977876013,False
"10018525","MO DEPARTMENT OF PUBLIC SAFETY - ADJUTANT GENERAL OFFICE",-92.0756527464813,38.5507607788292,False
"10018542","GENERAL SERVICES ADMIN NASHVILLE",-86.7822948469388,36.1589073571429,False
"10018642","US MARSHALS SERVICE-WESTERN DISTRICT OF TENNESSEE",-90.0516860539123,35.1497609,False
"10039239","EAST PROVIDENCE FIRE DEPARTMENT",-71.369566,41.816481,False
"10039339","WESTERLY POLICE DEPARTMENT",-71.809654599612,41.34953835,False
"10039439","NORTH SMITHFIELD POLICE DEPARTMENT",-71.5179823339528,41.9835630204152,False
"10039633","NC ALCOHOL LAW ENFORECEMENT",-78.6280127515824,35.7347463926333,False
"10039833","TOWN OF HOLLY SPRINGS-PARKS AND RECREATION",-78.8336218,35.6512655,False
"10018742","WILSON COUNTY SHERIFF OFFICE",-86.2901787330689,36.2124801989618,False
"10018842","TENNESSEE DEPARTMENT OF CORRECTIONS-PROBATION PAROLE DISTRICT 50",-86.416278,35.846037,False
"10019512","IONA POLICE DEPARTMENT",-111.933024,43.526303,False
"10019612","FAA TETON SYSTEM SUPPORT CENTER",-112.059453300859,43.4616309298355,False
"10019712","CITY OF JEROME",-114.517448586207,42.7232267931034,False
"10019812","MCCALL POLICE DEPARTMENT",-116.0987364,44.911006,False
"10019912","JEROME POLICE DEPARTMENT",-114.517448586207,42.7232267931034,False
"10020011","RINCON POLICE DEPARTMENT",-81.2328145,32.2790918,False
"10020112","SOCIAL SECURITY ADMINISTRATION COEUR D ALENE",-116.795260008032,47.7385753052209,False
"10020212","IDAHO DIVISION OF VETERANS SERVICES",-116.1890905,43.6182736,False
"10020312","FISHER SYSTEMS INC",-117.001474426829,46.4083927337591,False
"10031909","CORPORATION FOR NATIONAL AND COMMUNITY SERVICE",-77.0148349221313,38.88316,False
"10055602","SAND POINT DEPARTMENT OF PUBLIC SAFETY",-157.58263627551,57.5653111734694,False
"10123630","WEEHAWKEN POLICE DEPARTMENT",-74.0230679231942,40.7676399,False
"10123730","LONG BRANCH FIRE DEPARTMENT",-73.9881344088089,40.3054765873879,False
"10123830","MORRIS COUNTY ONE STOP CAREER CENTER",-74.5841147834176,40.8613776681933,False
"10128114","INDIANA NATIONAL GUARD INMAP FMS-3 ALEXANDRIA",-85.6742074285714,40.260705,False
"10129930","PRINCETON POLICE DEPARTMENT",-74.665194,40.36105,False
"10130334","DICKINSON POLICE DEPARTMENT",-102.8109043,46.8846245,False
"10130434","WILLISTON POLICE DEPARTMENT",-103.6176494,48.147088,False
"10130534","CASS COUNTY SHERIFF'S OFFICE",-96.8033708787879,46.9083997878788,False
"10130929","LONDONDERRY FIRE DEPARTMENT",-71.375725445418,42.86935795,False
"10133907","SOCIAL SECURITY ADMINISTRATION-WILLIMANTIC",-72.2303401,41.7136754,False
"10134007","VA CT HCS WEST HAVEN POLICE SERVICE",-72.9598468760939,41.2836542,False
"10134107","VHA WEST HAVEN EEO OJT",-72.9598468760939,41.2836542,False
"10134207","FAA BRADLEY TECHNICAL OPERATIONS",-72.685019942646,41.9405835,False
"10134307","FAA NEW HAVEN TECH OPS",-72.8840468,41.2652608,False
"10134407","VHA CT TCF CONTRACTING",-72.9598468760939,41.2836542,False
"10134507","DEPARTMENT OF HOMELAND SECURITY-US ICE OFFICE OF INVESTIGATIONS-HARTFORD",-72.6748682962963,41.7612695925926,False
"10134607","DEPARTMENT OF HOMELAND SECURITY-US ICE OFFICE OF INVESTIGATIONS-NEW HAVEN",-72.922804122449,41.3060504081633,False
"10140030","TOWN OF CLINTON POLICE DEPARTMENT",-74.9097159431402,40.6363033821784,False
"10141241","MINNEHAHA COUNTY SHERIFF'S OFFICE",-96.741349,43.5723855,False
"10155834","JAMESTOWN POLICE DEPARTMENT",-84.9318594372794,36.4259096,False
"10155934","HETTINGER COUNTY SHERIFF OFFICE",-102.328445642857,46.3738878571429,False
"10160034","WATFORD CITY POLICE DEPARTMENT",-103.262001,47.799312,False
"10163327","FAA OMAHA SYSTEM SUPPORT CENTER",-95.9044741,41.3057364,False
"10080008","FAA NEW CASTLE SYSTEM SUPPORT CENTER",-75.5663132,39.6620572,False
"10083614","FAA FORT WAYNE SYSTEM SUPPORT CENTER",-85.1877641,40.9721236,False
"10100114","FORTVILLE POLICE DEPARTMENT",-85.840972,39.935404,False
"10100132","PUTNAM COUNTY SHERIFFS DEPARTMENT",-73.6764109,41.4252185,False
"10100226","MONTANA FISH WILDLIFE AND PARKS",-112.003445,46.5868946,False
"10101014","OSGOOD POLICE DEPARTMENT-TOWN OF OSGOOD",-85.2919117142857,39.1290725714286,False
"10101114","CITY OF WESTFIELD FIRE DEPARTMENT",-86.1512291908115,40.0417379601048,False
"10101214","HUNTINGTON POLICE DEPARTMENT",-85.496388755102,40.8816544897959,False
"10101314","TOPEKA POLICE DEPARTMENT",-95.6705315451283,39.0549873,False
"10101414","VERSAILLES POLICE DEPARTMENT",-85.2537437,39.0707634,False
"10101514","FAA INDIANAPOLIS SYSTEM SUPPORT CENTER",-86.1583502,39.7683331,False
"10101614","CARROLL WHITE REMC",-86.7752982569658,40.7473226220595,False
