unitid,instnm,school_system_code,school_system_name,settlement_description,settlement_date,settlement_link
482592,DEVRY UNIVERSITY-OREGON,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482608,DEVRY UNIVERSITY-PENNSYLVANIA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482617,DEVRY UNIVERSITY-TENNESSEE,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482635,DEVRY UNIVERSITY-TEXAS,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482644,DEVRY UNIVERSITY-UTAH,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482653,DEVRY UNIVERSITY-VIRGINIA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482662,DEVRY UNIVERSITY-WASHINGTON,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482671,DEVRY UNIVERSITY-WISCONSIN,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
21917411,ASHWORTH COLLEGE,,,"Federal Trade Commission Filed Suit for Deceptive Advertising; Settlement reached on May 26, 2015",05/26/2015,
25917411,ASHWORTH COLLEGE,,,"Federal Trade Commission Filed Suit for Deceptive Advertising; Settlement reached on May 26, 2015",05/26/2015,
234711,BIG BEND COMMUNITY COLLEGE,,,Flight Program - Suspended for 85/15 violation,02/02/2016,
154998,DODGE CITY COLLEGE,,,Flight Program - Suspended for 85/15 violation,02/02/2016,
442222,PALO ALTO COLLEGE,,,Flight Program - Suspended for 85/15 violation,02/02/2016,
230603,SOUTHERN UTAH UNIVERSITY,,,Flight Program - Suspended for 85/15 violation,02/02/2016,
106148,YAVAPAI COLLEGE,,,Flight Program - Suspended for 85/15 violation,02/02/2016,
154022,ASHFORD UNIVERSITY-ONLINE,,,"There may be a potential lapse in program approval for Ashford University. VA may be forced to stop making benefit payments unless Ashford continues to show a good faith effort to seek approval in California. The State Attorney General filed a lawsuit against Ashford University for engaging in unlawful business practices, and litigation is pending.",06/01/2016,https://www.benefits.va.gov/gibill/comparison_tool/about_this_tool.asp#AshfordSAA
134811,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
367936,ARGOSY UNIVERSITY-ATLANTA,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
145770,ARGOSY UNIVERSITY-CHICAGO,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government",02/27/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
442222,ARGOSY UNIVERSITY-DALLAS,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
366748,ARGOSY UNIVERSITY-HAWAII,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
450526,ARGOSY UNIVERSITY-INLAND EMPIRE,301770,"Dream Center Education Holdings, LLC","Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
447272,ARGOSY UNIVERSITY-LOS ANGELES,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
450535,ARGOSY UNIVERSITY-NASHVILLE,301770,"Dream Center Education Holdings, LLC","Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
436438,ARGOSY UNIVERSITY-ORANGE COUNTY,301770,"Dream Center Education Holdings, LLC","Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",03/08/2019,https://studentaid.ed.gov/sa/about/announcements/dream-center
436094,ARGOSY UNIVERSITY-PHOENIX,,,Settlement with U.S. Government,11/16/2015,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and
