facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
25002248,ALL STATE CAREER SCHOOL,30,0,2,2
14964405,ALLAN HANCOCK COLLEGE,3255,2,215,217
15205911,ALLATOONA HIGH SCHOOL,15,0,1,1
14903420,ALLEGANY COLLEGE OF MARYLAND-CUMBERLAND,915,0,61,61
14953538,ALLEGANY COLLEGE OF MARYLAND-EVERETT,105,0,7,7
20052138,ALLEGHENY CO JATC HEAT PIPING AC INDUS,15,0,1,1
31000338,ALLEGHENY COLLEGE,435,0,29,29
18029138,ALLEGHENY COUNTY POLICE TRAINING ACADEMY,120,0,8,8
32910415,ALLEN COLLEGE,255,0,17,17
14001516,ALLEN COUNTY COMMUNITY COLLEGE,720,0,48,48
25800232,ALLEN SCHOOL - JAMAICA,150,0,10,10
25800332,ALLEN SCHOOL-BROOKLYN,75,0,5,5
24946703,ALLEN SCHOOL-PHOENIX,30,0,2,2
31001640,ALLEN UNIVERSITY,555,0,37,37
18088438,ALLENTOWN POLICE ACADEMY,30,0,2,2
15543035,ALLIANCE CAREER CENTER,15,0,1,1
25389332,ALLIANCE COMPUTING SOLUTIONS INC-FLUSHING,90,0,6,6
25396232,ALLIANCE COMPUTING SOLUTIONS-NYC,255,0,17,17
25019846,ALLIANCE TRACTOR TRAILER TRG CTR-WYTHEVILLE,30,0,2,2
21118705,ALLIANT INTERNATIONAL UNIVERSITY-ALHAMBRA,105,0,7,7
21119105,ALLIANT INTERNATIONAL UNIVERSITY-FRESNO,165,0,11,11
21119705,ALLIANT INTERNATIONAL UNIVERSITY-IRVINE,30,0,2,2
21118605,ALLIANT INTERNATIONAL UNIVERSITY-SACRAMENTO,105,0,7,7
21119905,ALLIANT INTERNATIONAL UNIV-SAN DIEGO,1185,0,79,79
21118905,ALLIANT INTERNATIONAL UNIV-SAN FRAN,315,0,21,21
25037042,ALLIED HEALTH CAREERS INSTITUTE,45,0,3,3
25012720,ALL-STATE CAREER SCHOOL-BALTIMORE,750,0,50,50
24A00138,ALL-STATE CAREER SCHOOL-ESSINGTON,105,0,7,7
28032638,ALL-STATE CAREER SCHOOL-LESTER,300,0,20,20
25301738,ALL-STATE CAREER SCHOOL-PITTSBURGH,465,0,31,31
25035907,ALLSTATE COMMERCIAL DRIVER TRAINING SCHOOL,150,0,10,10
25524335,ALLSTATE HAIRSTYLING & BARBER COLLEGE,45,0,3,3
31000822,ALMA COLLEGE,435,0,29,29
11805822,ALPENA COMMUNITY COLLEGE,840,0,56,56
31210370,ALPHACRUCIS COLLEGE,15,0,1,1
34003711,ALTIERUS CAREER COLLEGE,465,0,31,31
34043043,ALTIERUS CAREER COLLEGE-BISSONNET,165,0,11,11
31815010,ALTIERUS CAREER COLLEGE-TAMPA,1290,0,86,86
34806106,ALTIERUS CAREER COLLEGE-THORNTON,15,0,1,1
35000530,ALTIERUS CAREER EDUCATION-SOUTH PLAINFIELD,75,0,5,5
28071338,ALTOONA BEAUTY SCHOOL INC,15,0,1,1
25026503,ALTRAIN DENTAL ASSISTING ACADEMY,15,0,1,1
31008738,ALVERNIA UNIVERSITY,1140,0,76,76
31010049,ALVERNO COLLEGE,585,0,39,39
14904443,ALVIN COMMUNITY COLLEGE,2700,0,180,180
25053802,ALYESKA HELICOPTERS,60,0,4,4
21062062,AMA COMPUTER COLLEGE - ANGELES,30,0,2,2
21005062,AMA COMPUTER COLLEGE - DAGUPAN,15,0,1,1
21002062,AMA COMPUTER COLLEGE - EAST RIZAL,60,0,4,4
21809062,AMA COMPUTER COLLEGE - FAIRVIEW CAMPUS,30,0,2,2
21206062,AMA COMPUTER COLLEGE - LA UNION,15,0,1,1
21023062,AMA COMPUTER COLLEGE - LIPA,120,0,8,8
21089062,AMA COMPUTER COLLEGE - MALOLOS,45,0,3,3
21053062,AMA COMPUTER COLLEGE - OLONGAPO,45,0,3,3
21001062,AMA COMPUTER COLLEGE - PARANAQUE,30,0,2,2
21307062,AMA COMPUTER COLLEGE LUCENA,15,0,1,1
21003062,AMA COMPUTER COLLEGE OF DASMARINAS,30,0,2,2
21004062,AMA COMPUTER COLLEGE-CEBU,15,0,1,1
14905443,AMARILLO COLLEGE,4725,0,315,315
35002933,AMBASSADOR BAPTIST COLLEGE,210,0,14,14
25510414,AMBERS BEAUTY SCHOOL,30,0,2,2
31021243,AMBERTON UNIVERSITY,960,0,64,64
25489810,AMBIANCE BEAUTY & BARBER ACADEMY INC,105,0,7,7
24900813,AMBRIA COLLEGE OF NURSING,75,0,5,5
31011405,AMDA COLLEGE AND CONSERVATORY OF THE PERFORMING ARTS,585,0,39,39
34339432,AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE INC,510,0,34,34
