va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
31818210,SAINT LEO UNIVERSITY RESIDENT CENTER NAVAL STATION MAYPORT,4-year,0.836,0.809,0.913,0.855,,
31915133,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-FT BRAGG,4-year,0.832,0.683,0.903,0.857,,
31383532,THE COLLEGE OF NEW ROCHELLE,4-year,1.0,,1.0,,,
31926121,FISHER COLLEGE-BOSTON,4-year,1.0,0.4,1.0,0.8,,
31865422,DAVENPORT UNIVERSITY-WARREN LOCATION,4-year,,,,,,
31511117,INDIANA WESLEYAN UNIVERSITY LOUISVILLE CAMPUS,4-year,,,,,,
14020609,UNIVERSITY OF THE DISTRICT OF COLUMBIA-COMMUNITY COLLEGE,2-year,,0.5,,1.0,,
14002749,UNIVERSITY OF WISCONSIN-WASHINGTON CTY,2-year,0.0,0.617,1.0,0.778,0.185,0.478
11000530,THE COLLEGE OF NEW JERSEY,4-year,1.0,,1.0,,,
14904029,LAKES REGION COMMUNITY COLLEGE,2-year,,0.4,,0.6,0.071,0.286
11001719,UNIVERSITY OF MAINE AT PRESQUE ISLE,4-year,,0.0,,0.0,,
14932404,ARKANSAS NORTHEASTERN COLLEGE,2-year,,1.0,,1.0,0.0,0.5
14932413,SHAWNEE COMMUNITY COLLEGE,2-year,,0.333,,0.667,0.0,1.0
14906433,ROCKINGHAM COMMUNITY COLLEGE,2-year,,0.429,,0.571,0.0,0.286
14952433,BLADEN COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.0,1.0
14926149,SOUTHWEST WISCONSIN TECHNICAL COLLEGE,2-year,,1.0,,1.0,0.0,0.0
14903417,HAZARD COMMUNITY AND TECHNICAL COLLEGE,2-year,,0.333,,0.667,0.0,0.25
14909431,LUNA COMMUNITY COLLEGE,2-year,,1.0,,1.0,0.0,0.0
14959443,PANOLA COLLEGE,2-year,,0.5,,0.75,0.25,0.25
21919105,PACIFIC COLLEGE OF ORIENTAL MEDICINE-SAN DIEGO,4-year,,0.833,,0.833,,
21008342,FOUNTAINHEAD COLLEGE OF TECHNOLOGY,4-year,,0.9,,1.0,,
21959105,BROOKS INSTITUTE,4-year,1.0,,1.0,,,
21000214,DEVRY UNIVERSITY'S KELLER GRADUATE SCHOOL OF MANAGEMENT-INDIANA,4-year,0.625,,0.875,,,
21902137,UNIVERSITY OF PHOENIX-OREGON CAMPUS,4-year,0.6,,0.6,,,
24006805,INTERCOAST COLLEGES-RIVERSIDE,2-year,,0.75,,1.0,,
21905163,NATIONAL UNIVERSITY COLLEGE-ARECIBO,4-year,1.0,1.0,1.0,1.0,,
21904233,ITT TECHNICAL INSTITUTE-HIGH POINT,4-year,,1.0,,1.0,,
21013206,ASPEN UNIVERSITY,4-year,0.5,,0.5,,,
218A0132,BRIARCLIFFE COLLEGE-BETHPAGE,4-year,1.0,1.0,1.0,1.0,,
18357732,JEFFERSON LEWIS BOCES-PRACTICAL NURSING PROGRAM,NCD,,0.75,,0.75,,
