unitid,cipcode,ctotalt
100830,45.0702,0
100830,45.0702,1
100830,45.0702,1
100830,45.1001,4
100830,45.1001,0
100830,45.1101,7
100830,50.0701,16
100830,51.1004,24
100830,51.3801,133
100830,52.0101,25
100830,52.0101,56
100830,52.0201,25
100830,52.0213,2
100830,52.0301,15
100830,52.0301,5
100830,52.0601,3
100830,52.0801,25
100830,52.1001,13
100830,52.1101,6
100830,52.1201,33
100830,52.1201,9
100830,52.1401,15
100830,54.0101,7
100830,54.0101,4
100830,99,5
100830,99,594
100830,99,1
100830,99,262
100830,99,8
100858,1.0103,44
100858,1.0103,2
100858,1.0303,8
100858,1.0303,27
100858,1.0303,15
100858,1.0901,75
100858,1.0901,15
100858,1.0901,3
100858,1.0907,13
100858,1.1001,0
100858,1.1102,16
100858,1.1102,0
100858,1.1103,31
100858,1.1103,2
100858,1.1103,8
100858,1.1103,2
100858,1.1199,6
100858,1.1199,19
100858,1.1199,3
100858,3.0101,9
100858,3.0104,5
100858,3.0201,8
100858,3.0502,21
100858,3.0599,12
100858,3.0599,4
100858,3.0601,25
100858,4.0201,59
100858,4.0301,10
100858,4.0401,23
100858,4.0501,18
100858,4.0601,14
100858,4.1001,21
100858,9.0102,48
100858,9.0102,1
100858,9.0199,69
100858,9.0199,6
100858,9.0401,50
100858,9.0701,0
100858,9.0902,87
100858,11.0101,35
100858,13.0101,36
100858,13.0401,3
100858,13.0401,35
100858,13.0401,20
100858,13.0401,0
100858,13.0501,1
100858,13.1099,56
100858,13.1099,3
100858,13.1099,28
100858,13.1099,4
100858,13.1101,0
100858,13.1101,25
100858,13.1101,6
100858,13.1101,0
100858,13.1201,0
100858,13.1202,73
100858,13.1205,7
100858,13.1205,19
100858,13.1205,3
100858,13.1206,12
100858,13.1206,29
100858,13.1206,5
100858,13.121,32
100858,13.1305,8
100858,13.1306,2
100858,13.1307,96
100858,13.1311,16
100858,13.1312,10
100858,13.1314,92
100858,13.1314,1
100858,13.1314,63
100858,13.1314,4
100858,13.1316,9
100858,13.1317,10
100858,13.1319,12
100858,13.1319,3
100858,13.1319,51
100858,13.1319,18
100858,13.1319,0
100858,14.0201,50
100858,14.0201,9
100858,14.0201,3
100858,14.0401,88
100858,14.0401,91
100858,14.0401,40
100858,14.0701,95
100858,14.0701,6
100858,14.0701,13
100858,14.0801,97
100858,14.0801,28
100858,14.0801,10
100858,14.0901,46
100858,14.0901,27
100858,14.0901,8
100858,14.1001,101
100858,14.1001,49
100858,14.1001,18
100858,14.1001,1
100858,14.1801,8
100858,14.1801,3
100858,14.1801,5
100858,14.1901,189
100858,14.1901,25
100858,14.1901,7
100858,14.3201,10
100858,14.3201,3
100858,14.3201,1
100858,14.3501,98
100858,14.3501,14
100858,14.3501,63
100858,14.3501,6
100858,14.4501,24
100858,14.4501,7
100858,14.4501,4
100858,14.9999,22
100858,16.0501,6
100858,16.0501,2
100858,16.0901,10
100858,16.0905,27
100858,16.0905,5
100858,16.0905,2
100858,19.0599,14
100858,19.0799,89
100858,19.0799,8
100858,19.0799,6
100858,19.0905,60
100858,19.0905,0
100858,23.0101,39
100858,23.0101,13
100858,23.0101,10
100858,23.0101,10
100858,23.1303,2
100858,23.1303,6
100858,26.0101,36
100858,26.0101,20
100858,26.0101,10
100858,26.0101,8
100858,26.0102,228
100858,26.0503,33
100858,26.0503,2
100858,26.0701,15
100858,26.0908,0
100858,26.0908,0
100858,26.0908,0
100858,26.0908,0
100858,26.1302,8
100858,27.0101,18
100858,27.0101,1
100858,27.0101,9
100858,27.0101,16
100858,27.0301,25
100858,27.0301,6
100858,27.0501,10
100858,30,56
100858,30.1901,62
100858,30.1901,9
100858,30.1901,2
100858,38.0101,6
100858,38.0101,1
100858,40.0501,23
100858,40.0501,4
100858,40.0501,5
100858,40.0601,8
100858,40.0601,6
100858,40.0801,10
100858,40.0801,9
100858,40.0801,1
100858,42.0101,146
100858,42.0101,20
100858,42.0101,10
100858,42.2801,6
100858,42.2801,8
100858,42.2803,11
100858,44.0401,36
100858,44.0401,0
100858,44.0401,13
100858,44.0401,7
100858,44.0701,43
100858,45.0201,8
100858,45.0401,1
100858,45.0601,32
100858,45.0601,3
100858,45.0601,1
100858,45.0701,9
100858,45.0701,5
100858,45.1001,67
100858,45.1001,3
100858,45.1101,21
100858,45.1101,2
100858,45.1101,2
100858,50.0401,43
100858,50.0404,34
100858,50.0404,9
100858,50.0408,18
100858,50.0499,4
100858,50.0499,0
100858,50.0501,12
100858,50.0702,29
100858,50.0702,1
100858,50.0901,8
