Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Total Cost,Number of payments
31940344,Stevens-Henager College - St. George,Utah,,2,Private non-profit,Yellow Ribbon,"$2,834.36",4
31940244,Stevens-Henager College - Ogden Main Campus (West Haven),Utah,,10,Private non-profit,Yellow Ribbon,"$9,836.64",16
31940120,Hood College,Maryland,,23,Private non-profit,Yellow Ribbon,"$80,106.27",27
31940113,School Of The Art Institute Of Chicago,Illinois,,10,Private non-profit,Yellow Ribbon,"$22,972.61",10
31940107,University Of New Haven,Connecticut,,96,Private non-profit,Yellow Ribbon,"$573,242.77",189
31940105,Otis College Of Art And Design,California,,11,Private non-profit,Yellow Ribbon,"$39,535.06",14
31939105,National University (San Diego),California,,56,Private non-profit,Yellow Ribbon,"$56,156.58",101
31938138,Thiel College,Pennsylvania,,10,Private non-profit,Yellow Ribbon,"$35,388.38",11
31938113,Quincy University,Illinois,,9,Private non-profit,Yellow Ribbon,"$24,451.19",11
31938105,Biola University,California,,22,Private non-profit,Yellow Ribbon,"$55,000.00",22
31937149,Carthage College,Wisconsin,,19,Private non-profit,Yellow Ribbon,"$33,965.98",24
31937132,Columbia University,New York,,302,Private non-profit,Yellow Ribbon,"$1,822,538.68",366
31936113,Saint Xavier University,Illinois,,24,Private non-profit,Yellow Ribbon,"$88,768.91",69
31935149,Concordia University Wisconsin-Mequon,Wisconsin,,12,Private non-profit,Yellow Ribbon,"$44,065.26",16
31935113,Illinois Institute Of Technology/Stuart School Of Business,Illinois,,27,Private non-profit,Yellow Ribbon,"$200,014.44",38
31935105,California Lutheran University,California,,16,Private non-profit,Yellow Ribbon,"$28,336.13",22
31934136,Mid America Christian University,Oklahoma,,1,Private non-profit,Yellow Ribbon,"$2,430.50",1
31934105,John F Kennedy University,California,,8,Private non-profit,Yellow Ribbon,"$30,063.17",12
31933105,William Jessup University,California,,17,Private non-profit,Yellow Ribbon,"$50,853.31",32
31932122,Madonna University,Michigan,,3,Private non-profit,Yellow Ribbon,"$1,840.53",3
31932105,California Institute Of Integral Studies,California,,3,Private non-profit,Yellow Ribbon,"$11,147.22",7
31931121,Franklin W. Olin College Of Engineering,Massachusetts,,1,Private non-profit,Yellow Ribbon,"$1,150.85",1
31931113,University Of St. Francis,Illinois,,12,Private non-profit,Yellow Ribbon,"$25,261.03",19
31931105,Point Loma Nazarene University,California,,20,Private non-profit,Yellow Ribbon,"$57,928.10",30
31931047,Bastyr University,Washington,,7,Private non-profit,Yellow Ribbon,"$9,000.00",9
31928146,Averett University - Chesapeake,Virginia,,1,Private non-profit,Yellow Ribbon,$313.35,1
31928121,Benjamin Franklin Institute Of Technology,Massachusetts,,3,Private non-profit,Yellow Ribbon,"$8,347.72",3
31927447,Trinity Lutheran College,Washington,,2,Private non-profit,Yellow Ribbon,"$7,843.68",2
31927446,George Washington Univ-Arlington,Virginia,,9,Private non-profit,Yellow Ribbon,"$29,678.72",20
31927346,George Washington Univ-Alexandria Grad Cntr,Virginia,,3,Private non-profit,Yellow Ribbon,"$1,787.43",4
31927143,Texas Christian University,Texas,,153,Private non-profit,Yellow Ribbon,"$1,309,864.15",316
31926446,Hollins University,Virginia,,3,Private non-profit,Yellow Ribbon,"$5,162.54",3
31926246,Liberty University,Virginia,,315,Private non-profit,Yellow Ribbon,"$722,510.65",587
31926121,Fisher College - Boston,Massachusetts,,8,Private non-profit,Yellow Ribbon,"$38,124.26",10
31926025,Kansas City Art Institute,Missouri,,4,Private non-profit,Yellow Ribbon,"$29,482.40",6
31925149,Milwaukee School Of Engineering,Wisconsin,,49,Private non-profit,Yellow Ribbon,"$308,972.24",101
31925138,Carlow University,Pennsylvania,,4,Private non-profit,Yellow Ribbon,"$13,480.69",10
31925122,College For Creative Studies,Michigan,,7,Private non-profit,Yellow Ribbon,"$54,365.89",7
31924138,Villanova University,Pennsylvania,,14,Private non-profit,Yellow Ribbon,"$29,267.19",18
31924122,Lawrence Technological University,Michigan,,10,Private non-profit,Yellow Ribbon,"$15,447.39",12
31923414,Indiana Wesleyan University,Indiana,,10,Private non-profit,Yellow Ribbon,"$25,116.91",16
31923117,Saint Catharine College,Kentucky,,1,Private non-profit,Yellow Ribbon,$48.35,1
31923105,Hope International University,California,,3,Private non-profit,Yellow Ribbon,"$5,480.34",3
31922414,University Of Evansville,Indiana,,11,Private non-profit,Yellow Ribbon,"$37,142.95",13
31922121,Mount Ida College,Massachusetts,,6,Private non-profit,Yellow Ribbon,"$30,539.10",6
