FACILITY NO.,SCHOOL NAME,STATION,COUNT OF ADV PAY STUDENTS,COUNT OF REG STUDENTS,TOTAL COUNT OF STUDENTS, TOTAL PAID                          
11000369,NATIONAL CHENGCHI UNIVERSITY                                          ,307,0,3,3,$27.00 
11000469,SEOUL NATIONAL UNIVERSITY                                             ,307,0,2,2,$18.00 
11000569,SWAYAMGYAN ADHYAN SANSTHA-CBS                                         ,307,0,2,2,$18.00 
11000669,SOUTHWEST UNIV FOR NATIONALITY                                        ,307,0,1,1,$9.00 
11000769,RAMKHAMHAENG UNIVERSITY                                               ,307,0,5,5,$45.00 
11000869,GUANGZHOU UNIV OF CHINESE MED                                         ,307,0,2,2,$18.00 
11001169,NATIONAL UNIV OF SINGAPORE                                            ,307,0,1,1,$9.00 
11100269,HEBREW UNIVERSITY OF JERUSALEM                                        ,307,0,6,6,$54.00 
11100869,PRINCE OF SONGKLA UNIVERSITY                                          ,307,0,2,2,$18.00 
11101269,BEIJING INTERNATIONAL STUDIES                                         ,307,0,1,1,$9.00 
11102169,CHINA EUROPE INTERNATIONAL BUSINESS SCHOOL                            ,307,0,1,1,$9.00 
11120069,NATIONAL UNIV OF SINGAPORE                                            ,307,0,1,1,$9.00 
11120369,NATIONAL TAIWAN UNIVERSITY                                            ,307,0,5,5,$45.00 
11120469,HONG KONG UNIV OF SCI AND TECH                                        ,307,0,1,1,$9.00 
11120769,MAE FAH LUANG UNIVERSITY                                              ,307,0,1,1,$9.00 
11120869,RENMIN UNIVERSITY OF CHINA                                            ,307,0,1,1,$9.00 
11120969,HARBIN NORMAL UNIVERSITY                                              ,307,0,2,2,$18.00 
11192669,MAHIDOL UNIVERSITY                                                    ,307,0,4,4,$36.00 
11200469,KHON KAEN UNIVERSITY INTL COLL                                        ,307,0,1,1,$9.00 
11200569,NATIONAL SUN YAT-SEN UNIVERSITY                                       ,307,0,2,2,$18.00 
11200669,UDONTHANI TECHNICAL COLLEGE                                           ,307,0,1,1,$9.00 
11300269,PUSAN NATIONAL UNIVERSITY                                             ,307,0,2,2,$18.00 
11300569,TONGJI UNIVERSITY                                                     ,307,0,1,1,$9.00 
11300669,DALIAN UNIVERSITY OF TECHNOLOGY                                       ,307,0,1,1,$9.00 
11300869,GUANGDONG UNIVERSITY OF FOREIGN STUDIES                               ,307,0,1,1,$9.00 
11300969,CHINA UNIVERSITY OF POLITICAL                                         ,307,0,1,1,$9.00 
11800169,CHULALONGKORN UNIVERSITY                                              ,307,0,1,1,$9.00 
11800269,CHULALONGKORN-POL SCIENCE                                             ,307,0,2,2,$18.00 
11800369,CHULALONGKORN-SOUTHEAST ASIAN                                         ,307,0,2,2,$18.00 
11800569,CHULALONGKORN-BUSINESS ADMIN                                          ,307,0,2,2,$18.00 
21000369,STAMFORD INTERNATIONAL UNIVERSITY                                     ,307,0,1,1,$9.00 
21800069,DONGGUK UNIVERSITY-GYEONGJU                                           ,307,0,1,1,$9.00 
31000069,HULT INTERNATIONAL BUS SCHOOL                                         ,307,0,2,2,$18.00 
31000469,CAUCASUS UNIVERSITY                                                   ,307,0,1,1,$9.00 
31000969,HANYANG UNIVERSITY                                                    ,307,0,1,1,$9.00 
31002269,YONSEI UNIV GRAD SCH OF INTL                                          ,307,0,1,1,$9.00 
