Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
31059210,Berean Baptist College,Florida,, 3 ,Private non-profit,School Tuition & Fees,"$12,475.00", 3 
31058910,Asbury Theological Seminary,Florida,, 7 ,Private non-profit,School Tuition & Fees,"$38,723.60", 14 
31058310,Webster University Sarasota Metro Campus,Florida,, 4 ,Private non-profit,School Tuition & Fees,"$17,710.00", 8 
31058210,Belhaven University,Florida,, 13 ,Private non-profit,School Tuition & Fees,"$70,894.40", 66 
31058204,Champion Baptist College,Arkansas,, 2 ,Private non-profit,School Tuition & Fees,"$12,240.00", 5 
31058047,Cornish College Of The Arts,Washington,, 22 ,Private non-profit,School Tuition & Fees,"$82,359.26", 34 
31057810,Webster University Ocala Metropolitan Campus,Florida,, 9 ,Private non-profit,School Tuition & Fees,"$71,731.08", 29 
31057710,Springfield College School Of Human Services,Florida,, 3 ,Private non-profit,School Tuition & Fees,"$25,147.00", 5 
31057610,Webster University Space Coast Center,Florida,, 20 ,Private non-profit,School Tuition & Fees,"$86,765.50", 45 
31057110,Webster University Jacksonville Metropolitan Campus,Florida,, 124 ,Private non-profit,School Tuition & Fees,"$712,391.11", 300 
31055910,National Louis University Florida,Florida,, 2 ,Private non-profit,School Tuition & Fees,"$18,907.80", 10 
31055810,Trinity Baptist College,Florida,, 18 ,Private non-profit,School Tuition & Fees,"$129,876.50", 38 
31055710,Webster University Orlando Metro Center Longwood,Florida,, 30 ,Private non-profit,School Tuition & Fees,"$162,635.50", 64 
31055610,Keiser University-Residential,Florida,, 18 ,Private non-profit,School Tuition & Fees,"$126,280.80", 46 
31054810,Hobe Sound Bible College,Florida,, 1 ,Private non-profit,School Tuition & Fees,"$4,148.25", 2 
31054409,Georgetown University-Center For Continuing And Professional Education,District of Columbia,, 77 ,Private non-profit,School Tuition & Fees,"$410,176.63", 282 
31052410,Trinity International University-Florida,Florida,, 11 ,Private non-profit,School Tuition & Fees,"$90,822.56", 57 
31052121,New England College Of Business And Finance,Massachusetts,, 18 ,Private non-profit,School Tuition & Fees,"$86,422.91", 61 
31051510,Johnson University Florida,Florida,, 5 ,Private non-profit,School Tuition & Fees,"$45,469.74", 9 
31050821,Mgh Institute Of Health Professions,Massachusetts,, 17 ,Private non-profit,School Tuition & Fees,"$168,256.68", 22 
31050621,Cambridge College Camb Ma,Massachusetts,, 40 ,Private non-profit,School Tuition & Fees,"$273,398.28", 79 
31050562,"Univ. Of Perpetual Help System (Dr. J. G. Tamayo Med. Univ.) - Binan, Laguna",Philippines,, 3 ,Private non-profit,School Tuition & Fees,"$2,426.81", 4 
31050521,Bard College At Simon'S Rock,Massachusetts,, 2 ,Private non-profit,School Tuition & Fees,"$34,157.02", 3 
31050222,Thomas M Cooley Law School,Michigan,, 15 ,Private non-profit,School Tuition & Fees,"$123,669.38", 22 
31048013,Adler School Of Professional Psychology,Illinois,, 26 ,Private non-profit,School Tuition & Fees,"$240,625.19", 84 
31047913,Maryville University-Scott Afb,Illinois,, 5 ,Private non-profit,School Tuition & Fees,"$21,962.75", 19 
31047113,Robert Morris University-Arlington Heights,Illinois,, 4 ,Private non-profit,School Tuition & Fees,"$47,959.02", 8 
31046913,Embry-Riddle Aeronautical University-Rockford,Illinois,, 9 ,Private non-profit,School Tuition & Fees,"$27,225.47", 15 
31046813,Benedictine University-Springfield,Illinois,, 6 ,Private non-profit,School Tuition & Fees,"$29,758.36", 34 
31046713,Robert Morris University Illinois,Illinois,, 102 ,Private non-profit,School Tuition & Fees,"$1,391,625.28", 245 
31046613,Robert Morris University-Elgin,Illinois,, 1 ,Private non-profit,School Tuition & Fees,"$12,335.02", 2 
31046543,Park University El Paso,Texas,, 19 ,Private non-profit,School Tuition & Fees,"$65,063.00", 34 
31046513,Robert Morris University-Bensenville,Illinois,, 4 ,Private non-profit,School Tuition & Fees,"$62,170.04", 9 
31046443,Columbia College Mesquite,Texas,, 1 ,Private non-profit,School Tuition & Fees,$546.00, 1 
31046413,Robert Morris University-Schaumburg,Illinois,, 6 ,Private non-profit,School Tuition & Fees,"$55,930.00", 12 
31046313,Robert Morris University-Aurora,Illinois,, 6 ,Private non-profit,School Tuition & Fees,"$99,617.06", 15 
31046243,Webster University Lackland,Texas,, 94 ,Private non-profit,School Tuition & Fees,"$344,579.02", 207 
31046213,Robert Morris University-Peoria,Illinois,, 9 ,Private non-profit,School Tuition & Fees,"$92,630.20", 19 
31046143,Webster University Randolph,Texas,, 101 ,Private non-profit,School Tuition & Fees,"$443,927.31", 240 
31046113,Robert Morris University-Springfield,Illinois,, 10 ,Private non-profit,School Tuition & Fees,"$138,541.08", 22 
31046043,Webster University Ft Sam Houston,Texas,, 93 ,Private non-profit,School Tuition & Fees,"$335,010.11", 198 
31046013,Robert Morris University-Lake County Waukegan,Illinois,, 7 ,Private non-profit,School Tuition & Fees,"$80,228.02", 13 
31045913,Robert Morris University-Orland Park,Illinois,, 12 ,Private non-profit,School Tuition & Fees,"$146,488.56", 26 
31045713,Institute For Clinical Social Work,Illinois,, 2 ,Private non-profit,School Tuition & Fees,"$17,855.00", 5 
31045613,Webster University-Great Lakes Naval Base,Illinois,, 22 ,Private non-profit,School Tuition & Fees,"$118,185.50", 60 
