Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
11820104,Arkansas State University-Jonesboro,Arkansas,,266,Public,School Tuition & Fees,"$1,192,657.55",636
11817121,University Of Massachusetts Medical School,Massachusetts,,3,Public,School Tuition & Fees,"$48,977.00",5
11816506,University Of Northern Colorado - Colorado Springs,Colorado,,10,Public,School Tuition & Fees,"$81,652.06",55
11816306,University Of Northern Colorado - Denver,Colorado,,9,Public,School Tuition & Fees,"$57,091.03",59
11816210,Florida State University- Panama City Campus,Florida,,80,Public,School Tuition & Fees,"$308,973.51",172
11816146,University Of Oklahoma,Virginia,,75,Public,School Tuition & Fees,"$257,634.95",267
11816121,University Of Massachusetts/Amherst,Massachusetts,,380,Public,School Tuition & Fees,"$3,375,600.59",838
11816110,Florida State University-Republic Of Panama,Florida,,7,Public,School Tuition & Fees,"$34,203.40",14
11816106,University Of Northern Colorado - Greeley,Colorado,,286,Public,School Tuition & Fees,"$1,986,478.89",684
11816010,Florida State University,Florida,,722,Public,School Tuition & Fees,"$4,796,423.45","1,666"
11815146,Virginia Polytechnic Institute & State University,Virginia,,721,Public,School Tuition & Fees,"$5,725,539.74","1,319"
11814304,Shorter College,Arkansas,,5,Public,School Tuition & Fees,"$20,785.00",13
11814121,Fitchburg State University,Massachusetts,,59,Public,School Tuition & Fees,"$249,866.84",112
11813704,University Of Arkansas Medical Science Col Fay Boozman Col Of Public Hlth,Arkansas,,2,Public,School Tuition & Fees,"$1,827.61",2
11813346,Christopher Newport University,Virginia,,248,Public,School Tuition & Fees,"$2,055,479.92",412
11813246,Richard Bland College,Virginia,,33,Public,School Tuition & Fees,"$82,477.77",41
11813221,Westfield State University,Massachusetts,,207,Public,School Tuition & Fees,"$1,564,692.73",483
11813210,Southern Illinois University Naval Hospital  - Nas Pensacola,Florida,,13,Public,School Tuition & Fees,"$34,493.05",32
11813146,College Of William And Mary,Virginia,,312,Public,School Tuition & Fees,"$4,230,019.87",563
11813110,Southern Illinois Univ Carbondale - Nas Pensacola,Florida,,13,Public,School Tuition & Fees,"$66,647.60",49
11813010,Southern Illinois Univ Carbondale Nas Jax,Florida,,27,Public,School Tuition & Fees,"$130,519.74",116
11812711,University Of Georgia - Center For Continuing Education,Georgia,,12,Public,School Tuition & Fees,"$14,148.40",12
11812604,University Of Arkansas Graduate Resident Center,Arkansas,,17,Public,School Tuition & Fees,"$35,715.00",39
11812511,Central Michigan University (Atlanta),Georgia,,33,Public,School Tuition & Fees,"$53,618.70",67
11812404,University Of Arkansas Medical Science Graduate School,Arkansas,,3,Public,School Tuition & Fees,"$12,079.03",6
11812130,Rutgers The State University - Newark,New Jersey,,160,Public,School Tuition & Fees,"$2,273,913.62",367
11812121,Framingham State University,Massachusetts,,134,Public,School Tuition & Fees,"$575,772.54",290
11812104,University Of Arkansas At Pine Bluff,Arkansas,,41,Public,School Tuition & Fees,"$134,870.72",68
11812032,Suny College At New Paltz,New York,,55,Public,School Tuition & Fees,"$265,270.91",106
11811904,University Of Arkansas Medical Sciences Col Of Hlth Prof,Arkansas,,22,Public,School Tuition & Fees,"$141,463.36",41
11811711,Troy University - (Covington),Georgia,,8,Public,School Tuition & Fees,"$9,720.00",12
11811611,Troy University (Augusta),Georgia,,59,Public,School Tuition & Fees,"$144,464.74",134
11811411,Troy University (Albany),Georgia,,5,Public,School Tuition & Fees,"$10,410.00",12
11811404,University Of Arkansas At Little Rock,Arkansas,,358,Public,School Tuition & Fees,"$1,489,105.71",727
11811321,University Of Massachusetts Lowell,Massachusetts,,444,Public,School Tuition & Fees,"$2,772,344.45","1,029"
11811311,Troy University (Brunswick),Georgia,,14,Public,School Tuition & Fees,"$30,157.00",34
11811211,Troy University (Atlanta),Georgia,,8,Public,School Tuition & Fees,"$14,024.10",13
11811146,University Of Virginia College At Wise,Virginia,,28,Public,School Tuition & Fees,"$136,313.03",40
11811111,Troy University (Columbus),Georgia,,192,Public,School Tuition & Fees,"$386,423.58",409
11811047,Old Dominion U. - Bremerton,Washington,,18,Public,School Tuition & Fees,"$56,945.75",33
11810846,University Of Virginia Northern Va Ctr,Virginia,,50,Public,School Tuition & Fees,"$329,493.52",95
11810646,University Of Virginia-Hampton Roads Center,Virginia,,4,Public,School Tuition & Fees,"$14,654.40",12
11810604,University Of Arkansas At Little Rock-William H Bowen Sch Of Law,Arkansas,,8,Public,School Tuition & Fees,"$35,602.66",13
11810404,University Of Arkansas Medical Sciences College Of Pharmacy,Arkansas,,3,Public,School Tuition & Fees,"$30,620.68",4
11810304,University Of Arkansas Medical Sciences College Of Nursing,Arkansas,,22,Public,School Tuition & Fees,"$131,984.89",48
11810204,University Of Arkansas Medical Sciences College Of Medicine,Arkansas,,5,Public,School Tuition & Fees,"$134,318.00",6
11810146,University Of Virginia - Registrar Office,Virginia,,544,Public,School Tuition & Fees,"$8,636,480.16",900
11810114,Indiana University School Of Medicine,Indiana,,2,Public,School Tuition & Fees,"$25,401.08",3
11810113,Southern Illinois University Triton College,Illinois,,3,Public,School Tuition & Fees,"$25,747.14",19
11810104,University Of Arkansas At Fayetteville,Arkansas,,415,Public,School Tuition & Fees,"$2,234,605.29",926
11810048,Marshall University,West Virginia,,214,Public,School Tuition & Fees,"$1,088,242.93",445
